state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
,,,,,,,,,,0,0,0.0004161,0.0005938,0.0013774
,,,,,,,,,,0.0004065,0.0006705,0.0014912,0.0025038,0.0043399
,,,,,,,,,,0,0,0.002994,0.002,
,,,,,,,,,,0,0.0007974,0,0.0031201,0
,,,,,,,,,,0,0.0003338,0.0016452,0.0037037,0.0036881
,,,,,,,,,,0.0002832,0.0014496,0.001147,0.0018005,0.0041209
,,,,,,,,,,0,0,0.0010627,0.0023277,0.0027907
,,,,,,,,,,0.0010406,0,0.0028209,0.002907,
,,,,,,,,,,0,0,0.0008993,0,
,,,,,,,,,,0.0007987,0,0.0021164,0.0020284,0
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0.0009699,0.0009862,0.0011099,0.0017575,0.0077821
,,,,,,,,,,0,0,0.0017316,0.0014111,0.005291
,,,,,,,,,,0,0.0013167,0,0.0015244,0.0027473
,,,,,,,,,,0,0,0,0.0010638,0.0023622
